identifier	n_sentences	n_tokens	ttr_form_chunks_200	ttr_form_chunks_100	ttr_lemma_chunks_100	ttr_lemma_chunks_200	tokens_per_sent	char_per_tok	upos_dist_DT	upos_dist_VB	upos_dist_VBP	upos_dist_NNS	upos_dist_NNPS	upos_dist_NNP	upos_dist_VBZ	upos_dist_$	upos_dist_VBD	upos_dist_JJ	upos_dist_''	upos_dist_EX	upos_dist_``	upos_dist_NN	upos_dist_JJR	upos_dist_.	upos_dist_RBS	upos_dist_VBG	upos_dist_IN	upos_dist_WP$	upos_dist_RB	upos_dist_TO	upos_dist_WRB	upos_dist_CC	upos_dist_PRP	upos_dist_POS	upos_dist_MD	upos_dist_UH	upos_dist_,	upos_dist_CD	upos_dist_FW	upos_dist_RBR	upos_dist_:	upos_dist_JJS	upos_dist_PDT	upos_dist_VBN	upos_dist_WDT	upos_dist_RP	upos_dist_PRP$	upos_dist_WP	lexical_density	verbs_mood_dist	verbs_tense_dist	verbs_form_dist	verbs_num_pers_dist	aux_mood_dist	aux_tense_dist	aux_form_dist	aux_num_pers_dist	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_a	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist	avg_verb_edges
16_Question6_7.txt	1	87	0	0	0	0	87.0	4.816091954022989	0	0	1.1494252873563218	2.2988505747126435	0	17.24137931034483	1.1494252873563218	0	0	12.64367816091954	0	0	0	34.48275862068966	0	3.4482758620689653	0	0	2.2988505747126435	0	0	0	0	2.2988505747126435	0	0	0	0	6.896551724137931	2.2988505747126435	12.64367816091954	0	0	1.1494252873563218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16_Question6_8.txt	1	118	0	0.71	0.01	0	118.0	4.661016949152542	0	0	1.694915254237288	5.932203389830509	0	17.796610169491526	2.542372881355932	0	0	9.322033898305085	0	0	0	33.05084745762712	0	4.237288135593221	0	0	0.847457627118644	0	0	0	0	0.847457627118644	0	0	0	0	3.389830508474576	4.237288135593221	15.254237288135593	0	0	0.847457627118644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16_Question6_9.txt	1	127	0	0.75	0.01	0	127.0	4.7637795275590555	0	0	0.7874015748031497	1.5748031496062993	0	16.53543307086614	1.5748031496062993	0	0	10.236220472440944	0	0	0	41.732283464566926	0	3.937007874015748	0	0	1.5748031496062993	0	0	0	0	1.5748031496062993	0	0	0	0	4.724409448818897	5.511811023622047	8.661417322834646	0	0	1.5748031496062993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_1.txt	1	110	0	0.78	0.01	0	110.0	5.454545454545454	0	0	1.8181818181818181	10.909090909090908	0	9.090909090909092	3.6363636363636362	0	0	10.909090909090908	0	0	0	37.27272727272727	0	3.6363636363636362	0	0	2.727272727272727	0	0	0	0	0	0	0	0	0	7.2727272727272725	0.9090909090909091	11.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_10.txt	1	82	0	0	0	0	82.0	5.865853658536586	1.2195121951219512	0	4.878048780487805	17.073170731707318	0	9.75609756097561	2.4390243902439024	0	0	9.75609756097561	0	0	0	34.146341463414636	0	4.878048780487805	0	0	2.4390243902439024	0	0	0	0	0	0	0	0	0	6.097560975609756	1.2195121951219512	6.097560975609756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_2.txt	1	98	0	0	0	0	98.0	5.408163265306122	0	0	5.1020408163265305	12.244897959183673	0	12.244897959183673	3.061224489795918	0	0	11.224489795918368	0	0	0	33.673469387755105	0	4.081632653061225	0	0	2.0408163265306123	0	0	0	0	0	0	0	0	0	7.142857142857143	1.0204081632653061	8.16326530612245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_3.txt	1	93	0	0	0	0	93.0	5.193548387096774	0	0	3.225806451612903	5.376344086021505	0	11.827956989247312	2.150537634408602	0	0	7.526881720430108	0	0	0	37.634408602150536	0	4.301075268817204	0	0	3.225806451612903	0	0	0	0	0	0	0	0	0	7.526881720430108	1.075268817204301	16.129032258064516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_4.txt	1	113	0	0.74	0.01	0	113.0	5.265486725663717	0	0	5.3097345132743365	8.849557522123893	0	12.389380530973451	3.5398230088495577	0	0	9.734513274336283	0	0	0	34.51327433628319	0	4.424778761061947	0	0	4.424778761061947	0	0	0	0	0	0	0	0	0	7.964601769911504	0.8849557522123894	7.964601769911504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_5.txt	1	100	0	0.76	0.01	0	100.0	5.15	0	0	2.0	7.0	0	9.0	2.0	0	0	11.0	0	0	0	34.0	0	4.0	0	0	4.0	0	0	0	0	0	0	0	0	0	8.0	1.0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_6.txt	1	99	0	0	0	0	99.0	5.363636363636363	1.0101010101010102	0	2.0202020202020203	13.131313131313131	0	16.161616161616163	3.0303030303030303	0	0	13.131313131313131	0	0	0	27.272727272727273	0	4.040404040404041	0	0	4.040404040404041	0	1.0101010101010102	0	0	1.0101010101010102	0	0	0	0	5.05050505050505	1.0101010101010102	8.080808080808081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
