identifier	n_sentences	n_tokens	ttr_form_chunks_100	ttr_form_chunks_200	ttr_lemma_chunks_200	ttr_lemma_chunks_100	tokens_per_sent	char_per_tok	upos_dist_RB	upos_dist_WP$	upos_dist_CD	upos_dist_RBR	upos_dist_WP	upos_dist_JJS	upos_dist_NN	upos_dist_NNPS	upos_dist_TO	upos_dist_RBS	upos_dist_PRP$	upos_dist_:	upos_dist_NNS	upos_dist_.	upos_dist_''	upos_dist_``	upos_dist_POS	upos_dist_VB	upos_dist_JJ	upos_dist_VBG	upos_dist_WRB	upos_dist_VBD	upos_dist_,	upos_dist_VBP	upos_dist_PRP	upos_dist_PDT	upos_dist_DT	upos_dist_RP	upos_dist_NNP	upos_dist_WDT	upos_dist_EX	upos_dist_CC	upos_dist_VBZ	upos_dist_VBN	upos_dist_JJR	upos_dist_FW	upos_dist_UH	upos_dist_MD	upos_dist_IN	lexical_density	verbs_mood_dist	verbs_tense_dist	verbs_form_dist	verbs_num_pers_dist	aux_mood_dist	aux_tense_dist	aux_form_dist	aux_num_pers_dist	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_a	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist	avg_verb_edges
30_Question10_8.txt	1	167	0.71	0	0	0.01	167.0	5.6706586826347305	0	0	0.5988023952095808	0	0	0	38.32335329341317	0	0	0	0	0	2.9940119760479043	4.790419161676646	0.5988023952095808	0.5988023952095808	0	0	9.580838323353293	0.5988023952095808	0	2.9940119760479043	3.592814371257485	1.7964071856287425	0	0	0	0	19.161676646706585	0	0	0	1.1976047904191616	1.1976047904191616	0	7.7844311377245505	0	0.5988023952095808	3.592814371257485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30_Question10_9.txt	1	163	0.7	0	0	0.01	163.0	5.49079754601227	1.2269938650306749	0	1.2269938650306749	0.6134969325153374	1.2269938650306749	0	41.717791411042946	0	0	0	0	0	1.2269938650306749	4.294478527607362	0	0	0	0	9.815950920245399	0.6134969325153374	0	3.6809815950920246	4.9079754601226995	0	0	0	0	0	17.177914110429448	0	0	0	0.6134969325153374	0.6134969325153374	0	7.975460122699387	0	0	3.067484662576687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_1.txt	1	111	0.71	0	0	0.01	111.0	4.891891891891892	0.9009009009009009	0	4.504504504504505	0	0.9009009009009009	0	13.513513513513514	0	2.7027027027027026	0	4.504504504504505	0	3.6036036036036037	4.504504504504505	0	0	0	1.8018018018018018	11.711711711711711	1.8018018018018018	0	8.108108108108109	3.6036036036036037	0.9009009009009009	1.8018018018018018	0	5.405405405405405	0	6.306306306306307	0	0	9.00900900900901	0	0.9009009009009009	0	0	0	0	13.513513513513514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_10.txt	1	131	0.73	0	0	0.01	131.0	5.122137404580153	2.2900763358778624	0	1.5267175572519085	0	0.7633587786259542	0	14.50381679389313	0	0.7633587786259542	0	6.106870229007634	0	4.580152671755725	3.816793893129771	0	0	0.7633587786259542	0.7633587786259542	12.213740458015268	0	0	6.106870229007634	3.816793893129771	0.7633587786259542	2.2900763358778624	0	5.343511450381679	0	9.923664122137405	0	0	8.396946564885496	0	0.7633587786259542	0	0	0	0	14.50381679389313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_2.txt	1	133	0.73	0	0	0.01	133.0	5.2631578947368425	3.007518796992481	0	1.5037593984962405	0	0.7518796992481203	0	13.533834586466165	0	0.7518796992481203	0	3.7593984962406015	0	4.511278195488722	3.7593984962406015	0	0	0	0.7518796992481203	14.285714285714286	2.255639097744361	0	5.2631578947368425	9.022556390977444	0	1.5037593984962405	0	4.511278195488722	0.7518796992481203	8.270676691729323	0	0	9.022556390977444	0	2.255639097744361	0	0	0	0	10.526315789473685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_3.txt	1	123	0.72	0	0	0.01	123.0	4.926829268292683	3.252032520325203	0	1.6260162601626016	0	0.8130081300813008	0	15.447154471544716	0	0.8130081300813008	0	4.878048780487805	0	2.4390243902439024	4.065040650406504	0	0	0	0.8130081300813008	8.94308943089431	4.065040650406504	0	6.504065040650406	8.130081300813009	0.8130081300813008	3.252032520325203	0	8.130081300813009	0	6.504065040650406	0	0	4.878048780487805	0	1.6260162601626016	0	0	0	0	13.008130081300813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_4.txt	1	125	0.71	0	0	0.01	125.0	4.96	4.8	0	4.0	0	0.8	0	12.0	0	1.6	0	4.0	0	4.0	4.0	0	0	0	0.8	11.2	2.4	0	4.8	6.4	0	1.6	0	4.8	0	8.8	0	0	7.2	0.8	1.6	0	0	0	0	14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_5.txt	1	128	0.7	0	0	0.01	128.0	5.140625	0	0.78125	1.5625	0	0.78125	0	13.28125	0	1.5625	0	4.6875	0	6.25	3.90625	0	0	0	0.78125	13.28125	1.5625	0	6.25	3.90625	0	2.34375	0	6.25	0	7.03125	0	0	8.59375	0.78125	1.5625	0	0	0	0	14.84375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_6.txt	1	135	0.72	0	0	0.01	135.0	5.037037037037037	3.7037037037037037	0	2.962962962962963	0.7407407407407407	1.4814814814814814	0	14.074074074074074	0	1.4814814814814814	0	5.185185185185185	0	3.7037037037037037	3.7037037037037037	0	0	0	1.4814814814814814	8.88888888888889	0	0	6.666666666666667	5.925925925925926	0.7407407407407407	2.962962962962963	0	5.925925925925926	0	7.407407407407407	0	0	6.666666666666667	0	1.4814814814814814	0	0	0	0	14.814814814814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31_Question1_7.txt	1	105	0.72	0	0	0.01	105.0	4.923809523809524	0	0	1.9047619047619047	0	0.9523809523809523	0	14.285714285714286	0	0.9523809523809523	0	5.714285714285714	0	3.8095238095238093	4.761904761904762	0	0	0.9523809523809523	0.9523809523809523	10.476190476190476	1.9047619047619047	0	6.666666666666667	6.666666666666667	0	1.9047619047619047	0	5.714285714285714	0	9.523809523809524	0	0	5.714285714285714	0	1.9047619047619047	0	0	0	0	15.238095238095237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
